"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"nzv0gQyvNrA","fsuofwH2xwq","CSI Nditam","RMA2017_247. Fievre Typhode","","2.0","","","","","","2.0","","","","","0","0","20","0","20"
"zNlw7VrVqRW","fsuofwH2xwq","HD Yoko","RMA2017_247. Fievre Typhode","15","8.0","10","13","11","12","15","17","","","","","1.56","1.21","50","0","50"
"OziphTTnhOB","fsuofwH2xwq","Infirmerie de la prison - Yoko","RMA2017_247. Fievre Typhode","","","","23","23","","4.0","","21","21","","27","1.96","12.14","132","19","151"
"RSmXTchRJqY","yCNlvZNUOq9","CMA de Ndjole","RMA2020_370_MAPE_MORSURE DE SERPENT","","","","","","","","1.0","1.0","","","","0","0","10","0","10"
"sR6JNlTJ0to","yCNlvZNUOq9","CSI Kong","RMA2020_370_MAPE_MORSURE DE SERPENT","","","","","1.0","","","","","","","","0","0","11","0","11"
"XPlWSsf0gSI","yCNlvZNUOq9","CSI Mangai","RMA2020_370_MAPE_MORSURE DE SERPENT","2.0","1.0","","","","","","","","1.0","2.0","","0.87","0.67","12","0","12"
"N9jOjZrqhQv","yCNlvZNUOq9","CSI Mankim","RMA2020_370_MAPE_MORSURE DE SERPENT","","","","","","","","","","1.0","1.0","1.0","0","0","9","0","9"
"zNlw7VrVqRW","yCNlvZNUOq9","HD Yoko","RMA2020_370_MAPE_MORSURE DE SERPENT","","","","","","","","1.0","","","","","0","0","11","0","11"
"RSmXTchRJqY","Q7kKMmRtRXA","CMA de Ndjole","RMA2017_244. Varicelle","","","","1.0","1.0","","","","","","","","0","0","10","0","10"
"nzv0gQyvNrA","Q7kKMmRtRXA","CSI Nditam","RMA2017_244. Varicelle","","","","","","","1.0","","1.0","","","","0","0","10","0","10"
"uw6cm086opa","ASccseZSvmR","CMA Ngambe Tikar","RMA2020_580. MAPE_Rougeole","","","","","3.0","","5.0","","","","","","0.71","0.67","40","0","40"
"lhdY6WyuP7u","ASccseZSvmR","CS Family Health Care Clinic","RMA2020_580. MAPE_Rougeole","1.0","","","1.0","1.0","","","","","","","","0","0","9","0","9"
"N9jOjZrqhQv","ASccseZSvmR","CSI Mankim","RMA2020_580. MAPE_Rougeole","","","","","","","1.0","1.0","","","","","0","0","10","0","10"
"zNlw7VrVqRW","ASccseZSvmR","HD Yoko","RMA2020_580. MAPE_Rougeole","1.0","2.0","1.0","","1.0","","","","","","","","1.5","0","8","0","8"
"RSmXTchRJqY","bae5fFIggyQ","CMA de Ndjole","RMA2017_262. Morsure de chien","","","","","","2.0","","","","","","","0","0","22","0","22"
"sR6JNlTJ0to","bae5fFIggyQ","CSI Kong","RMA2017_262. Morsure de chien","1.0","","","","","","","","","","","","0","0","11","0","11"
"XPlWSsf0gSI","bae5fFIggyQ","CSI Mangai","RMA2017_262. Morsure de chien","","","2.0","","1.0","","1.0","1.0","","","2.0","1.0","1.29","0","6","0","6"
"zNlw7VrVqRW","bae5fFIggyQ","HD Yoko","RMA2017_262. Morsure de chien","","3.0","","","","1.0","1.0","","","","","","1.15","0","9","0","9"
